NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;27/01/2025;07/02/2025;Férias
LORENA GUIMARÃES ARRUDA;Secretária de Inspeção do Trabalho - Substituta;Secretaria de Inspeção do Trabalho;27/01/2025;07/02/2025;Férias do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;14/07/2025;30/07/2025;Férias
ROGERIO SILVA ARAUJO;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;14/07/2025;30/07/2025;Férias do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;04/11/2025;08/11/2025;Viagem Oficial
LUIZ HENRIQUE RAMOS LOPES;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;04/11/2025;08/11/2025;Viagem Oficial do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;29/12/2025;31/12/2025;Recesso de Final de Ano
LUIZ HENRIQUE RAMOS LOPES;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;29/12/2025;31/12/2025;Recesso de Final de Ano do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;06/01/2025;20/01/2025;Férias
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;06/01/2025;20/01/2025;Férias do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;07/02/2025;16/02/2025;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;07/02/2025;16/02/2025;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;13/04/2025;17/04/2025;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;13/04/2025;17/04/2025;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;31/05/2025;13/06/2025;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;31/05/2025;13/06/2025;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;29/12/2025;31/12/2025;Recesso de Final de Ano
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;29/12/2025;31/12/2025;Recesso de Final de Ano do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;06/01/2025;20/01/2025;Férias 
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;06/01/2025;20/01/2025;Férias do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;12/06/2025;22/06/2025;Viagem Oficial 
TIAGO OLIVEIRA MOTTA;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;12/06/2025;22/06/2025;Viagem Oficial 
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;20/09/2025;28/09/2025;Viagem Oficial do Titular
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;20/09/2025;28/09/2025;Viagem Oficial do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;01/01/2025;10/01/2025;Férias 
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;01/01/2025;10/01/2025;Férias do Títular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;27/05/2025;13/06/2025;Viagem Oficial 
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;27/05/2025;13/06/2025;Viagem Oficial do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;04/09/2025;07/09/2025;Viagem Oficial
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;04/09/2025;07/09/2025;Viagem Oficial do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;15/09/2025;19/09/2025;Férias
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;15/09/2025;19/09/2025;Férias do Títular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;07/12/2025;12/12/2025;Viagem Oficial
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;07/12/2025;12/12/2025;Viagem Oficial do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;22/12/2025;26/12/2025;Recesso de Final de Ano
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;22/12/2025;26/12/2025;Recesso de Final de Ano do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;01/01/2025;24/01/2025;Férias
AMANDA FREITAS GOMES;Diretora de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;01/01/2025;24/01/2025;Férias do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;21/07/2025;07/08/2025;Férias
AMANDA FREITAS GOMES;Diretora de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;21/07/2025;07/08/2025;Férias do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;05/10/2025;10/10/2025;Licença Médica
ADRIANO SIMOES ANDRADE;Diretor Adjunto de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;05/10/2025;10/10/2025;Licença Médica do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;03/11/2025;08/11/2025;Viagem Oficial
